imdbId,Genre
114709,14
113497,17
113228,7
114885,7
113041,7
113277,17
114319,7
112302,22
114576,17
113189,17
112346,7
112896,7
112453,14
113987,20
112760,17
112641,18
114388,21
113101,7
112281,22
113845,17
113161,7
112722,18
112401,17
114168,21
113627,21
114057,21
114011,7
114117,21
112682,23
115012,18
112792,20
114746,15
114952,22
112431,7
112637,20
112818,18
112286,22
113442,7
112697,7
112749,21
114279,21
112819,17
114272,20
113855,17
114681,7
113347,7
114369,18
114148,14
114916,21
114814,18
109950,17
113819,7
110299,21
112499,7
113158,21
113541,22
113321,7
110877,20
112714,21
113419,21
116260,18
113862,21
116126,7
118002,7
115683,7
116839,17
114753,21
113149,7
113118,7
116367,17
113010,17
113537,7
113828,21
115644,26
115676,7
114367,12
113973,19
112744,21
116731,21
112445,21
114660,18
112379,7
114039,21
113612,7
112365,21
118158,22
116151,7
115697,7
113972,17
113490,21
117002,21
114825,7
115639,7
115759,17
113403,7
113247,18
111173,17
113283,19
115907,21
115734,7
117102,7
118040,21
116483,7
112579,21
110251,7
117110,17
112646,19
113276,7
112573,20
75314,18
113326,17
115645,18
113774,21
112556,7
112373,19
115033,18
116606,7
114536,7
117427,22
106473,21
103859,7
109424,7
114808,21
116324,7
110647,22
111055,21
110217,19
114131,7
112364,21
113107,21
113451,18
114015,7
114500,19
116130,7
113125,19
113756,7
113952,21
114618,21
118055,21
115685,7
94878,21
113200,21
112585,7
112442,17
112342,6
112461,20
112427,7
109093,7
112384,22
114287,22
112288,10
112462,17
61395,21
112495,17
112541,7
109370,7
112642,7
112688,18
112715,17
112740,17
109508,19
112851,17
112857,18
112864,17
112887,17
113044,18
113071,17
113114,22
113243,7
113464,7
113481,17
113492,17
113500,7
113540,21
113677,7
113690,10
107447,21
113729,21
113749,7
113820,17
113851,7
110604,10
110620,21
113957,17
113986,7
114095,7
114194,17
114241,7
114323,21
114345,21
114435,19
114436,21
114478,7
114496,7
114508,17
114534,21
114558,17
58450,21
114666,18
114663,21
114702,20
114682,7
114781,17
114798,7
114805,19
114887,21
114898,17
114928,21
114938,17
109340,21
112602,22
111579,21
110882,21
112471,21
112508,7
112438,21
112571,7
112757,21
112643,21
112679,21
109445,7
112883,7
109635,21
112899,5
109676,17
112854,18
109579,21
109642,18
109686,7
111797,7
109759,21
109758,7
109707,20
113117,7
113097,7
113028,22
113198,14
113303,23
113089,21
109771,20
113199,7
113234,14
109906,18
110057,19
110005,20
110066,7
110116,20
110006,7
113360,17
110099,7
110148,21
113463,20
110189,7
110216,7
113501,17
113538,22
113552,17
76759,17
110367,21
113670,21
110296,21
109731,18
103994,21
110322,21
110443,22
110365,18
107566,18
110391,7
113691,21
110428,20
109836,21
113755,7
110538,7
110516,7
110527,6
113808,7
113896,21
113870,21
110684,7
110638,21
113967,18
117169,17
106402,7
113948,17
110671,7
110632,18
110737,7
110729,18
114151,21
114069,17
110413,18
114113,7
114210,7
110912,18
114084,21
105652,7
110889,21
110932,20
114129,21
110963,20
114214,17
114296,7
110907,7
111495,21
108394,21
111507,7
110769,21
114268,21
110965,21
114571,7
111333,14
111112,21
111255,17
111282,17
111070,7
111161,18
111149,18
108260,21
106966,7
114594,7
111309,7
113936,22
110081,21
114614,17
114608,17
111280,17
114609,18
111454,20
114852,10
114694,22
111590,7
114788,18
114888,21
108550,21
114857,17
114924,7
111667,21
109655,21
110598,7
112435,7
109040,7
109045,7
106339,20
104779,21
109348,7
109444,17
109446,18
109484,7
109504,7
109506,17
109450,20
109813,7
109830,7
109831,7
113305,18
110091,7
110093,17
110167,7
110213,22
107472,19
110357,14
107426,21
111686,23
110475,7
110478,17
110588,20
110622,7
110771,7
110950,7
105226,18
110989,7
111054,21
110997,17
111257,17
111256,7
111438,17
111503,17
111693,21
111742,21
111756,22
112443,18
110455,7
111048,7
110399,17
112570,21
109454,21
59170,17
110186,18
108069,14
111301,17
112702,17
112849,21
113014,21
113043,10
113104,19
113173,22
113319,21
113827,17
114047,7
112889,7
109339,19
110027,17
109785,18
113409,23
109021,20
109035,18
106220,7
111804,19
106226,21
109068,7
109067,7
106292,17
109198,26
109219,7
106379,7
106400,7
109254,17
109279,22
109297,18
109303,17
109305,21
109306,21
106452,10
106471,21
106489,18
109361,22
106505,21
106519,18
109439,7
109443,7
106582,17
106598,7
109456,15
109480,7
109493,17
106660,21
106673,7
106677,7
106697,17
109729,19
106834,7
106873,7
106332,21
109783,7
106881,21
106880,7
111732,7
106926,21
111712,7
106941,7
106918,21
106965,22
109842,18
106977,17
107004,21
